Rede,Escola,Serie,Turma,Status,AnoLetivo,Turno,Aluno,Matricula,E-mail do Educacional do aluno,CPF,Responsavel
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 1,10001,aluno1@motivo.com.br,12345678901,Resp 1
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 2,10002,aluno2@motivo.com.br,12345678901,Resp 2
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 3,10003,aluno3@motivo.com.br,12345678901,Resp 3
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 4,10004,aluno4@motivo.com.br,12345678901,Resp 4
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 5,10005,aluno5@motivo.com.br,12345678901,Resp 5
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 6,10006,aluno6@motivo.com.br,12345678901,Resp 6
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 7,10007,aluno7@motivo.com.br,12345678901,Resp 7
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 8,10008,aluno8@motivo.com.br,12345678901,Resp 8
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 9,10009,aluno9@motivo.com.br,12345678901,Resp 9
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 10,10010,aluno10@motivo.com.br,12345678901,Resp 10
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 11,10011,aluno11@motivo.com.br,12345678901,Resp 11
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 12,10012,aluno12@motivo.com.br,12345678901,Resp 12
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 13,10013,aluno13@motivo.com.br,12345678901,Resp 13
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 14,10014,aluno14@motivo.com.br,12345678901,Resp 14
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 15,10015,aluno15@motivo.com.br,12345678901,Resp 15
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 16,10016,aluno16@motivo.com.br,12345678901,Resp 16
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 17,10017,aluno17@motivo.com.br,12345678901,Resp 17
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 18,10018,aluno18@motivo.com.br,12345678901,Resp 18
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 19,10019,aluno19@motivo.com.br,12345678901,Resp 19
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 20,10020,aluno20@motivo.com.br,12345678901,Resp 20
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 21,10021,aluno21@motivo.com.br,12345678901,Resp 21
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 22,10022,aluno22@motivo.com.br,12345678901,Resp 22
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 23,10023,aluno23@motivo.com.br,12345678901,Resp 23
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 24,10024,aluno24@motivo.com.br,12345678901,Resp 24
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 25,10025,aluno25@motivo.com.br,12345678901,Resp 25
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 26,10026,aluno26@motivo.com.br,12345678901,Resp 26
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 27,10027,aluno27@motivo.com.br,12345678901,Resp 27
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 28,10028,aluno28@motivo.com.br,12345678901,Resp 28
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 29,10029,aluno29@motivo.com.br,12345678901,Resp 29
Motivo,Boa Viagem,Infantil 4 Regular,A,Matriculado,2026,Manhã,Aluno Audit 30,10030,aluno30@motivo.com.br,12345678901,Resp 30
